,dataset,model,algorithm,fold,metric,value
381,hPPB,ECFP4,svm,2,MAE,0.5803941237726562
382,hPPB,ECFP4,svm,2,RMSE,0.711708332121125
383,hPPB,ECFP4,svm,2,R2,0.26239115786159517
384,hPPB,ECFP4,svm,3,MAE,0.5754100212012572
385,hPPB,ECFP4,svm,3,RMSE,0.7873971012898914
386,hPPB,ECFP4,svm,3,R2,0.30187293487374334
387,hPPB,ECFP4,svm,4,MAE,0.5357227228398415
388,hPPB,ECFP4,svm,4,RMSE,0.6246705535315547
389,hPPB,ECFP4,svm,4,R2,0.4172485167440182
390,hPPB,ECFP4,random-forest,0,MAE,0.603722381421282
391,hPPB,ECFP4,random-forest,0,RMSE,0.7988199765003695
392,hPPB,ECFP4,random-forest,0,R2,0.1828295521760832
393,hPPB,ECFP4,random-forest,1,MAE,0.45910750858128196
394,hPPB,ECFP4,random-forest,1,RMSE,0.5651223341160332
395,hPPB,ECFP4,random-forest,1,R2,0.3588290735303262
396,hPPB,ECFP4,random-forest,2,MAE,0.5812010491771795
397,hPPB,ECFP4,random-forest,2,RMSE,0.7195340773435072
398,hPPB,ECFP4,random-forest,2,R2,0.24608089670517086
399,hPPB,ECFP4,random-forest,3,MAE,0.6106331959028948
400,hPPB,ECFP4,random-forest,3,RMSE,0.8241114268430264
401,hPPB,ECFP4,random-forest,3,R2,0.23525134162924888
402,hPPB,ECFP4,random-forest,4,MAE,0.510735990046923
403,hPPB,ECFP4,random-forest,4,RMSE,0.6374787280942644
404,hPPB,ECFP4,random-forest,4,R2,0.39310618119934926
405,hPPB,MolFormer,linear,0,MAE,0.5212670909450232
406,hPPB,MolFormer,linear,0,RMSE,0.7297056085086348
407,hPPB,MolFormer,linear,0,R2,0.3181164916294166
408,hPPB,MolFormer,linear,1,MAE,0.5525426044908224
409,hPPB,MolFormer,linear,1,RMSE,0.7234521605379136
410,hPPB,MolFormer,linear,1,R2,-0.05077205562343323
411,hPPB,MolFormer,linear,2,MAE,0.5823433777058791
412,hPPB,MolFormer,linear,2,RMSE,0.7537419635483122
413,hPPB,MolFormer,linear,2,R2,0.17269165865087743
414,hPPB,MolFormer,linear,3,MAE,0.5544461636829902
415,hPPB,MolFormer,linear,3,RMSE,0.738207977916844
416,hPPB,MolFormer,linear,3,R2,0.38637319786315605
417,hPPB,MolFormer,linear,4,MAE,0.5656124025487851
418,hPPB,MolFormer,linear,4,RMSE,0.6925832971282495
419,hPPB,MolFormer,linear,4,R2,0.28364986604561426
420,hPPB,MolFormer,svm,0,MAE,0.46175642333906014
421,hPPB,MolFormer,svm,0,RMSE,0.6766941800428786
422,hPPB,MolFormer,svm,0,R2,0.4135922502808942
423,hPPB,MolFormer,svm,1,MAE,0.3232636265151466
424,hPPB,MolFormer,svm,1,RMSE,0.4228780817219055
425,hPPB,MolFormer,svm,1,R2,0.6409795143181525
426,hPPB,MolFormer,svm,2,MAE,0.43658682370034113
427,hPPB,MolFormer,svm,2,RMSE,0.5759902633250917
428,hPPB,MolFormer,svm,2,R2,0.5168830243608972
429,hPPB,MolFormer,svm,3,MAE,0.49577963603726766
430,hPPB,MolFormer,svm,3,RMSE,0.6845992177457045
431,hPPB,MolFormer,svm,3,R2,0.4722604420482085
432,hPPB,MolFormer,svm,4,MAE,0.4596290704333208
433,hPPB,MolFormer,svm,4,RMSE,0.5604136823039025
434,hPPB,MolFormer,svm,4,R2,0.5309719901406149
435,hPPB,MolFormer,random-forest,0,MAE,0.6065008453648717
436,hPPB,MolFormer,random-forest,0,RMSE,0.743678468639387
437,hPPB,MolFormer,random-forest,0,R2,0.2917522002781696
438,hPPB,MolFormer,random-forest,1,MAE,0.4407828786389743
439,hPPB,MolFormer,random-forest,1,RMSE,0.5191422724697443
440,hPPB,MolFormer,random-forest,1,R2,0.4589197695432734
441,hPPB,MolFormer,random-forest,2,MAE,0.5595168100315383
442,hPPB,MolFormer,random-forest,2,RMSE,0.6950631832794101
443,hPPB,MolFormer,random-forest,2,R2,0.2964894998963242
